"agent_id","punch_in","punch_out","date_utc"
1739,2023-07-20 09:15:00,2023-07-20 09:43:00,2023-07-20
1484,2023-07-20 09:19:00,2023-07-20 09:29:00,2023-07-20
1673,2023-07-20 09:19:00,2023-07-20 09:27:00,2023-07-20
1027,2023-07-20 09:23:00,2023-07-20 09:26:00,2023-07-20
1887,2023-07-20 09:23:00,2023-07-20 09:26:00,2023-07-20
1129,2023-07-20 09:25:00,2023-07-20 09:31:00,2023-07-20
1136,2023-07-20 09:25:00,2023-07-20 09:36:00,2023-07-20
1422,2023-07-20 09:28:00,2023-07-20 09:34:00,2023-07-20
1484,2023-07-20 09:32:00,2023-07-20 09:50:00,2023-07-20
2439,2023-07-20 09:33:00,2023-07-20 10:02:00,2023-07-20
1673,2023-07-20 09:34:00,2023-07-20 10:29:00,2023-07-20
2506,2023-07-20 09:37:00,2023-07-20 09:41:00,2023-07-20
1136,2023-07-20 09:39:00,2023-07-20 09:52:00,2023-07-20
1422,2023-07-20 09:41:00,2023-07-20 10:06:00,2023-07-20
2506,2023-07-20 09:45:00,2023-07-20 09:51:00,2023-07-20
2308,2023-07-20 09:47:00,2023-07-20 09:53:00,2023-07-20
2648,2023-07-20 09:47:00,2023-07-20 11:16:00,2023-07-20
1739,2023-07-20 09:48:00,2023-07-20 09:56:00,2023-07-20
2858,2023-07-20 09:51:00,2023-07-20 10:40:00,2023-07-20
2506,2023-07-20 09:54:00,2023-07-20 11:34:00,2023-07-20
2374,2023-07-20 09:55:00,2023-07-20 10:13:00,2023-07-20
1136,2023-07-20 09:58:00,2023-07-20 10:14:00,2023-07-20
1484,2023-07-20 09:59:00,2023-07-20 11:06:00,2023-07-20
2586,2023-07-20 09:59:00,2023-07-20 13:00:00,2023-07-20
1739,2023-07-20 10:02:00,2023-07-20 10:09:00,2023-07-20
2829,2023-07-20 10:04:00,2023-07-20 12:52:00,2023-07-20
2439,2023-07-20 10:05:00,2023-07-20 10:23:00,2023-07-20
2902,2023-07-20 10:10:00,2023-07-20 13:12:00,2023-07-20
1027,2023-07-20 10:11:00,2023-07-20 10:43:00,2023-07-20
1739,2023-07-20 10:12:00,2023-07-20 10:39:00,2023-07-20
352,2023-07-20 10:17:00,2023-07-20 10:23:00,2023-07-20
1136,2023-07-20 10:18:00,2023-07-20 10:39:00,2023-07-20
1422,2023-07-20 10:19:00,2023-07-20 10:26:00,2023-07-20
2489,2023-07-20 10:19:00,2023-07-20 10:31:00,2023-07-20
1129,2023-07-20 10:20:00,2023-07-20 10:41:00,2023-07-20
2082,2023-07-20 10:20:00,2023-07-20 10:40:00,2023-07-20
2895,2023-07-20 10:20:00,2023-07-20 10:25:00,2023-07-20
2308,2023-07-20 10:29:00,2023-07-20 10:35:00,2023-07-20
1422,2023-07-20 10:32:00,2023-07-20 10:53:00,2023-07-20
2439,2023-07-20 10:33:00,2023-07-20 11:44:00,2023-07-20
2489,2023-07-20 10:35:00,2023-07-20 11:50:00,2023-07-20
747,2023-07-20 10:38:00,2023-07-20 13:16:00,2023-07-20
1739,2023-07-20 10:42:00,2023-07-20 11:26:00,2023-07-20
2082,2023-07-20 10:43:00,2023-07-20 10:55:00,2023-07-20
1136,2023-07-20 10:45:00,2023-07-20 12:34:00,2023-07-20
2737,2023-07-20 10:45:00,2023-07-20 12:58:00,2023-07-20
2779,2023-07-20 10:45:00,2023-07-20 10:50:00,2023-07-20
1027,2023-07-20 10:53:00,2023-07-20 11:03:00,2023-07-20
1673,2023-07-20 10:54:00,2023-07-20 12:06:00,2023-07-20
2308,2023-07-20 10:57:00,2023-07-20 11:00:00,2023-07-20
2727,2023-07-20 10:58:00,2023-07-20 11:46:00,2023-07-20
1369,2023-07-20 10:59:00,2023-07-20 11:42:00,2023-07-20
1422,2023-07-20 10:59:00,2023-07-20 11:02:00,2023-07-20
2858,2023-07-20 10:59:00,2023-07-20 12:21:00,2023-07-20
1989,2023-07-20 11:02:00,2023-07-20 12:15:00,2023-07-20
2082,2023-07-20 11:03:00,2023-07-20 11:23:00,2023-07-20
1409,2023-07-20 11:04:00,2023-07-20 11:15:00,2023-07-20
563,2023-07-20 11:05:00,2023-07-20 11:08:00,2023-07-20
1422,2023-07-20 11:07:00,2023-07-20 11:30:00,2023-07-20
1027,2023-07-20 11:08:00,2023-07-20 11:11:00,2023-07-20
2779,2023-07-20 11:12:00,2023-07-20 11:15:00,2023-07-20
1484,2023-07-20 11:18:00,2023-07-20 12:56:00,2023-07-20
2662,2023-07-20 11:19:00,2023-07-20 11:31:00,2023-07-20
2779,2023-07-20 11:19:00,2023-07-20 11:25:00,2023-07-20
2043,2023-07-20 11:22:00,2023-07-20 18:25:00,2023-07-20
2308,2023-07-20 11:22:00,2023-07-20 11:25:00,2023-07-20
2648,2023-07-20 11:22:00,2023-07-20 12:51:00,2023-07-20
1409,2023-07-20 11:27:00,2023-07-20 11:36:00,2023-07-20
1739,2023-07-20 11:29:00,2023-07-20 11:42:00,2023-07-20
563,2023-07-20 11:30:00,2023-07-20 11:33:00,2023-07-20
2082,2023-07-20 11:33:00,2023-07-20 11:52:00,2023-07-20
2779,2023-07-20 11:34:00,2023-07-20 11:44:00,2023-07-20
1369,2023-07-20 11:45:00,2023-07-20 13:06:00,2023-07-20
2727,2023-07-20 11:50:00,2023-07-20 12:51:00,2023-07-20
563,2023-07-20 11:52:00,2023-07-20 11:58:00,2023-07-20
2082,2023-07-20 11:55:00,2023-07-20 12:34:00,2023-07-20
1739,2023-07-20 11:57:00,2023-07-20 12:06:00,2023-07-20
2779,2023-07-20 12:01:00,2023-07-20 12:26:00,2023-07-20
2942,2023-07-20 12:01:00,2023-07-20 14:22:00,2023-07-20
2489,2023-07-20 12:03:00,2023-07-20 12:21:00,2023-07-20
1409,2023-07-20 12:05:00,2023-07-20 12:08:00,2023-07-20
1763,2023-07-20 12:05:00,2023-07-20 12:11:00,2023-07-20
1409,2023-07-20 12:11:00,2023-07-20 12:18:00,2023-07-20
1340,2023-07-20 12:19:00,2023-07-20 12:34:00,2023-07-20
563,2023-07-20 12:20:00,2023-07-20 12:23:00,2023-07-20
2489,2023-07-20 12:25:00,2023-07-20 12:32:00,2023-07-20
2858,2023-07-20 12:25:00,2023-07-20 13:05:00,2023-07-20
2638,2023-07-20 12:26:00,2023-07-20 12:47:00,2023-07-20
